venueid,venuename,lat,lon,address,city,state,checkin,checkeduser,currentuser,todo,category_num,categoty1,categoty2,categoty3,categoty4,categoty5,categoty6,categoty7,categoty8,categoty9,categoty10,categoty11,categoty12,categoty13,categoty14,categoty15,categoty16,categoty17,categoty18,selected_category
43a52546f964a520532c1fe3,John F Kennedy International Airport (JFK),40.64512192,-73.78349304,Van Wyck Expy,Queens,NY,162134,74252,0,0,1,4bf58dd8d48988d1ed931735,,,,,,,,,,,,,,,,,,4bf58dd8d48988d1ed931735
42911d00f964a520f5231fe3,New York Penn Station,40.7509214,-73.9925643,1 Penn Plaza,New York,NY,121863,34316,0,0,4,4bf58dd8d48988d129951735,4bf58dd8d48988d1fd931735,4bf58dd8d48988d1fc931735,4bf58dd8d48988d12a951735,,,,,,,,,,,,,,,4bf58dd8d48988d129951735
4ace6c89f964a52078d020e3,LaGuardia Airport (LGA),40.77430186,-73.87192011,Grand Central Pkwy,East Elmhurst,NY,54762,26022,0,0,1,4bf58dd8d48988d1ed931735,,,,,,,,,,,,,,,,,,4bf58dd8d48988d1ed931735
4459d2f1f964a520d7321fe3,Newark Liberty International Airport (EWR),40.6920929,-74.17891502,10 Tolar Pl.,Newark,NJ,105810,48451,0,0,3,4bf58dd8d48988d1ed931735,4bf58dd8d48988d1f0931735,4bf58dd8d48988d1f7931735,,,,,,,,,,,,,,,,4bf58dd8d48988d1f0931735
42829c80f964a5206a221fe3,Grand Central Terminal,40.75280621,-73.97717535,87 E 42nd St,New York,NY,23810,9230,0,0,1,4bf58dd8d48988d129951735,,,,,,,,,,,,,,,,,,4bf58dd8d48988d129951735
3fd66200f964a520ddf01ee3,Yankee Stadium,40.82948301,-73.9269805,1 E 161 St,Bronx,NY,60234,32875,0,0,3,4bf58dd8d48988d18c941735,4bf58dd8d48988d1e8941735,4bf58dd8d48988d184941735,,,,,,,,,,,,,,,,4bf58dd8d48988d18c941735
4af5a46af964a520b5fa21e3,MoMA - Museum of Modern Art,40.76136589,-73.97755623,11 W 53rd St,New York,NY,44313,27857,0,0,2,4bf58dd8d48988d18f941735,4bf58dd8d48988d181941735,,,,,,,,,,,,,,,,,4bf58dd8d48988d18f941735
427c0500f964a52097211fe3,Metropolitan Museum of Art,40.77901409,-73.96279335,1000 5th Ave,New York,NY,44878,27332,0,0,2,4bf58dd8d48988d18f941735,4bf58dd8d48988d1e2931735,,,,,,,,,,,,,,,,,4bf58dd8d48988d18f941735
4d26fe5e8292236a4f3c0bbb,Snowpocalypse 2011,40.7340881,-73.99240494,Moving Target!,New York,NY,15,8,0,0,1,4bf58dd8d48988d162941735,,,,,,,,,,,,,,,,,,4bf58dd8d48988d162941735
439ec330f964a520102c1fe3,Los Angeles International Airport (LAX),33.94389398,-118.4050226,1 World Way,Los Angeles,CA,266563,101501,0,0,1,4bf58dd8d48988d1ed931735,,,,,,,,,,,,,,,,,,4bf58dd8d48988d1ed931735
4d1759fd25cda143c24876d6,Snowpocalypse 2010,40.75102831,-73.98862839,Moving Target!,Everywhere near NYC,NY,25284,15123,0,0,2,4bf58dd8d48988d1f1931735,4bf58dd8d48988d162941735,,,,,,,,,,,,,,,,,4bf58dd8d48988d1ed931735
4ae6363ef964a520aba521e3,Madison Square Garden,40.75018302,-73.99227619,4 Penn Plz.,New York,NY,58914,35269,0,0,10,4bf58dd8d48988d184941735,4bf58dd8d48988d1e5931735,4bf58dd8d48988d185941735,4bf58dd8d48988d18b941735,4bf58dd8d48988d1f3931735,4bf58dd8d48988d171941735,4bf58dd8d48988d1f1931735,4bf58dd8d48988d1f2931735,4bf58dd8d48988d137941735,4bf58dd8d48988d1e6931735,,,,,,,,,4bf58dd8d48988d185941735
40e74880f964a520150a1fe3,Shake Shack,40.7413313,-73.98826361,Madison Square Park,New York,NY,24452,15584,0,0,4,4bf58dd8d48988d16c941735,4bf58dd8d48988d1c9941735,4bf58dd8d48988d123941735,4bf58dd8d48988d14e941735,,,,,,,,,,,,,,,4bf58dd8d48988d185941735
41059b00f964a520850b1fe3,San Francisco International Airport (SFO),37.61637306,-122.3861074,275 S. Airport Blvd.,San Francisco,CA,277638,89541,0,0,1,4bf58dd8d48988d1ed931735,,,,,,,,,,,,,,,,,,4bf58dd8d48988d1ed931735
49b7ed6df964a52030531fe3,Times Square,40.75621355,-73.98652554,Broadway & 7th Ave,New York,NY,55484,32440,0,0,5,4bf58dd8d48988d164941735,4bf58dd8d48988d162941735,4bf58dd8d48988d1f1931735,4bf58dd8d48988d1f6931735,4bf58dd8d48988d1ff941735,,,,,,,,,,,,,,4bf58dd8d48988d1ed931735
4d4ad2e8f2cc6a31686ec188,Super Bowl Sunday,32.74786823,-97.09356308,Worldwide!,Arlington,TX,218167,134158,0,0,1,4bf58dd8d48988d189941735,,,,,,,,,,,,,,,,,,4bf58dd8d48988d189941735
4c5ef77bfff99c74eda954d3,Eataly,40.74205476,-73.98995876,200 5th Ave,New York,NY,25171,16189,0,0,8,4bf58dd8d48988d1f5941735,4bf58dd8d48988d118951735,4bf58dd8d48988d16d941735,4bf58dd8d48988d110941735,4bf58dd8d48988d11e951735,4bf58dd8d48988d11d951735,4bf58dd8d48988d174941735,4bf58dd8d48988d16a941735,,,,,,,,,,,4bf58dd8d48988d1f5941735
4a5a77a4f964a52062ba1fe3,Chicago O'Hare International Airport (ORD),41.97727092,-87.90440083,10000 Bessie Coleman Dr.,Chicago,IL,234652,88384,0,0,1,4bf58dd8d48988d1ed931735,,,,,,,,,,,,,,,,,,4bf58dd8d48988d1ed931735
4a5403b8f964a520f3b21fe3,Ippudo,40.7309482,-73.9902865,65 4th Ave.,New York,NY,10766,7030,0,0,3,4bf58dd8d48988d1d1941735,4bf58dd8d48988d111941735,4bf58dd8d48988d142941735,,,,,,,,,,,,,,,,4bf58dd8d48988d1ed931735
4c4d9348f53d0f47b12938a5,Local Battles Gaming Center,40.840217,-73.983195,1207 Anderson Ave,Fort Lee,New Jersey,68,21,0,0,1,4bf58dd8d48988d18d941735,,,,,,,,,,,,,,,,,,4bf58dd8d48988d18d941735
