venueid,label
43a52546f964a520532c1fe3,0
42911d00f964a520f5231fe3,1
4ace6c89f964a52078d020e3,2
4459d2f1f964a520d7321fe3,3
42829c80f964a5206a221fe3,1
3fd66200f964a520ddf01ee3,4
4af5a46af964a520b5fa21e3,5
427c0500f964a52097211fe3,5
4d26fe5e8292236a4f3c0bbb,6
439ec330f964a520102c1fe3,7
4d1759fd25cda143c24876d6,5
4ae6363ef964a520aba521e3,5
40e74880f964a520150a1fe3,8
41059b00f964a520850b1fe3,-1
49b7ed6df964a52030531fe3,9
4d4ad2e8f2cc6a31686ec188,10
4c5ef77bfff99c74eda954d3,11
4a5a77a4f964a52062ba1fe3,-1
4a5403b8f964a520f3b21fe3,12
4c4d9348f53d0f47b12938a5,13
4a257482f964a520557e1fe3,14
4840fe6bf964a52030501fe3,15
40f1d480f964a5206a0a1fe3,16
4c28955e360cef3b1c19bedc,6
4cd29490fc8c60fc92e31755,-1
4b709d01f964a5204c252de3,17
4aa9386ef964a5208b5220e3,17
49c046f1f964a5205b551fe3,0
447bf8f1f964a520ec331fe3,11
4a1afeb7f964a520b77a1fe3,18
4297b480f964a52062241fe3,5
4a43bcb7f964a520bba61fe3,19
4c582dde7613b713e87a91ea,-1
4a8a103af964a520c90920e3,-1
4acbe67af964a52044c820e3,20
41102700f964a520d60b1fe3,11
4d13c1829833a09028a32bf2,21
4a677f82f964a52091c91fe3,-1
44b78a37f964a52070351fe3,17
4a0e0f85f964a520bf751fe3,22
3fd66200f964a5205ae91ee3,23
412d2800f964a520df0c1fe3,24
40abf500f964a52035f31ee3,6
427d5680f964a520a8211fe3,25
4a4821f5f964a52095aa1fe3,-1
49c27575f964a520f1551fe3,11
43bba61df964a520eb2c1fe3,11
49d60947f964a520a85c1fe3,26
482d61baf964a520d64f1fe3,-1
44d9ff60f964a5208b361fe3,-1
3fd66200f964a52070e91ee3,27
3fd66200f964a520d7f11ee3,16
4ace64bef964a52053d020e3,2
4a1aefc6f964a520a77a1fe3,8
3fd66200f964a52003e71ee3,27
4158a980f964a5203c1d1fe3,28
4800619cf964a520ec4e1fe3,29
3fd66200f964a520b8ea1ee3,23
4731be8af964a520244c1fe3,12
4bd44b84a8b3a5937e7f6b5f,30
4a19d1edf964a5205a7a1fe3,31
431e2d80f964a52079271fe3,32
49f76cc2f964a5209d6c1fe3,33
3fd66200f964a52035e41ee3,18
4393dd78f964a520782b1fe3,34
4ccb67ce97d0224b1a2e59b8,5
4ab7e57cf964a5205f7b20e3,35
4a513b17f964a520d2b01fe3,36
4abce679f964a5209d8720e3,37
4169cd00f964a5208c1d1fe3,17
4a07ac6af964a5208f731fe3,38
40a55d80f964a52020f31ee3,39
460d4b1ef964a52004451fe3,11
4acca438f964a5201dc920e3,40
4a55c1f7f964a52046b41fe3,-1
46a6a0b3f964a52045491fe3,-1
4c2bccc7d1a10f475a88f864,8
4079dc00f964a52070f21ee3,41
4a78c47ff964a5205de61fe3,-1
3fd66200f964a52004e61ee3,42
41b3a100f964a5206c1e1fe3,8
4aee4cd4f964a52068d321e3,29
4a9e7e1af964a5204c3a20e3,43
4aa52d50f964a520834720e3,44
46093845f964a520e3441fe3,45
43695300f964a5208c291fe3,46
4356de00f964a520d2281fe3,47
3fd66200f964a520def11ee3,16
4a149749f964a52055781fe3,48
477a3514f964a520214d1fe3,17
470f3ff0f964a5208e4b1fe3,5
40958b80f964a520e6f21ee3,11
3fd66200f964a52061e41ee3,40
448acb74f964a52048341fe3,49
45040d24f964a520de381fe3,44
4a4ab03cf964a5201bac1fe3,17
41706480f964a520a51d1fe3,5
4858e403f964a520bf501fe3,50
41b24f80f964a520661e1fe3,-1
41390580f964a520dc1a1fe3,51
49cbcc5cf964a5201d591fe3,52
4b89fb5df964a5200d5a32e3,-1
4bb3ec359af3b7132dc48b28,17
4530db29f964a520613b1fe3,11
4b3cd805f964a520218825e3,3
3fd66200f964a5209beb1ee3,53
4656e1ebf964a52007471fe3,18
4a416369f964a52036a51fe3,54
47e100b9f964a520414e1fe3,55
49b79f54f964a5202c531fe3,9
46b16b46f964a52098491fe3,56
49d8c05df964a520c95d1fe3,8
4ae63a26f964a520caa521e3,57
4b998a8ff964a520098235e3,17
4dd6d579cc3f75159f1c0930,58
3fd66200f964a520e9e81ee3,29
411c0480f964a5201a0c1fe3,-1
44d17cecf964a5202b361fe3,-1
4555bea7f964a520253d1fe3,11
