venueid,label
439ec330f964a520102c1fe3,-1
40f86c00f964a520bd0a1fe3,0
41059b00f964a520850b1fe3,-1
4b7736baf964a5206d882ee3,4
42893400f964a5207e231fe3,1
40db6b00f964a5207d011fe3,2
4a344606f964a520069c1fe3,-1
4d4ad2e8f2cc6a31686ec188,-1
43a52546f964a520532c1fe3,-1
49e25d07f964a5200f621fe3,-1
4a677f82f964a52091c91fe3,-1
49b064dcf964a520bc521fe3,3
44d9ff60f964a5208b361fe3,-1
45f555cef964a5200e441fe3,-1
4161e400f964a5206f1d1fe3,4
482d61baf964a520d64f1fe3,-1
4161e400f964a520641d1fe3,4
4a29992bf964a520b0951fe3,-1
41687b80f964a520861d1fe3,4
42893400f964a5205f231fe3,5
4a5a77a4f964a52062ba1fe3,-1
40a40c00f964a5201df31ee3,5
45b88de0f964a520ce411fe3,-1
4a8a103af964a520c90920e3,-1
3fd66200f964a5206aee1ee3,4
449e9fb9f964a520c0341fe3,-1
427ff980f964a520c7211fe3,-1
4b7ce4d7f964a5208da82fe3,6
4a0a463ef964a52098741fe3,6
42911d00f964a520f5231fe3,7
4459d2f1f964a520d7321fe3,-1
40a2ba80f964a5200ef31ee3,8
47383924f964a520444c1fe3,9
4a6cc0f0f964a52088d11fe3,8
4b1eb74df964a520611e24e3,8
4ace6c89f964a52078d020e3,-1
41cf5080f964a520a61e1fe3,4
4a6e5d0df964a52093d41fe3,-1
4ae6363ef964a520aba521e3,-1
49bad052f964a520b3531fe3,10
4b155044f964a5203db023e3,-1
4470358df964a52089331fe3,2
474f6bd3f964a520b04c1fe3,2
44d9af97f964a52081361fe3,-1
4a2ffbe1f964a52001991fe3,-1
4a8b29b1f964a5209f0b20e3,-1
4a6bdc59f964a52020d01fe3,-1
451cfbd2f964a520833a1fe3,-1
4abc28daf964a5209e8620e3,4
438cf623f964a520302b1fe3,11
49e3c0c1f964a520c7621fe3,12
49ee2919f964a5202e681fe3,12
40a6af00f964a52027f31ee3,6
474a2b79f964a520954c1fe3,-1
47fccaaff964a520d44e1fe3,-1
4ac6b90ff964a52006b620e3,12
4b6e4a73f964a5208db62ce3,-1
4a2f650bf964a520c5981fe3,-1
4a9fceaaf964a520583d20e3,13
4b58cbeaf964a520a96b28e3,13
45db8eb5f964a520fd421fe3,0
4af5a46af964a520b5fa21e3,7
4724d2d5f964a520d74b1fe3,6
4a149a98f964a5205a781fe3,-1
47ed4758f964a5206a4e1fe3,6
3fd66200f964a52092ee1ee3,12
3fd66200f964a52002f01ee3,12
411c0480f964a5201a0c1fe3,-1
4a01c2d3f964a520f7701fe3,12
43bd6072f964a520062d1fe3,12
4c040b64187ec928b87fb67b,12
