userid,label
98307,-1
1310729,-1
65548,-1
131084,-1
622605,-1
98319,-1
753679,-1
3244046,-1
426002,-1
1769491,-1
8749076,-1
262170,-1
32797,-1
32,-1
33,-1
37,-1
196647,3
32808,1
1048617,-1
2719785,-1
43,-1
44,-1
45,-1
46,-1
2129969,-1
327730,-1
1343539,-1
52,-1
53,-1
426038,-1
56,-1
131128,-1
59,-1
61,-1
622654,61
65,-1
1278018,-1
98372,-1
32841,-1
32852,-1
1507417,-1
98395,-1
65632,-1
5505120,-1
327779,-1
2523248,-1
163957,62
2359415,-1
1704058,5
196731,-1
589947,-1
917631,-1
135,-1
136,-1
32903,5
262279,-1
139,-1
140,-1
262284,20
5669005,-1
143,-1
144,-1
131217,-1
6914189,5
295064,-1
1409182,-1
2883748,-1
32937,-1
32938,-1
262315,-1
131247,-1
1114289,-1
164025,63
753856,-1
32968,5
884938,-1
209,-1
1671377,2
212,-1
213,-1
214,-1
216,-1
217,-1
1671386,-1
219,-1
220,-1
229597,-1
222,-1
32991,-1
223,-1
224,-1
226,-1
227,-1
262365,-1
229,-1
230,-1
1769703,-1
234,-1
235,-1
33003,-1
238,-1
983280,-1
5308657,-1
1442034,-1
1638642,-1
852212,-1
295161,-1
6127865,-1
65787,-1
360704,0
229633,-1
258,-1
524547,-1
260,-1
1540353,-1
1736970,-1
267,-1
1442063,4
275,-1
277,-1
278,-1
279,-1
65817,-1
950553,-1
1179929,-1
284,-1
753949,-1
3801381,-1
65830,-1
3408166,7
426280,-1
491818,-1
304,-1
305,-1
306,40
1048882,-1
229688,-1
1147193,-1
2326840,-1
229692,-1
2523454,-1
2031937,-1
1081668,-1
1114440,-1
131406,-1
2490703,-1
6848846,-1
4030801,-1
196947,-1
347,-1
4817244,-1
917853,41
426336,64
2720097,-1
354,-1
65890,-1
1769828,-1
196966,-1
359,-1
98663,-1
361,-1
1016166,-1
4292971,-1
365,-1
328047,-1
1245556,-1
373,-1
229750,60
1081717,-1
4522362,62
379,-1
380,-1
381,-1
383,-1
4522369,-1
388,-1
389,-1
2654596,-1
131465,-1
394,-1
2359689,-1
6553995,-1
393615,65
1671568,-1
404,31
328089,-1
360861,-1
419,-1
65959,42
262571,-1
3965355,-1
429,-1
197042,-1
295350,-1
440,-1
443,-1
197051,-1
1016252,-1
446,-1
1212861,-1
688576,-1
453,-1
360901,-1
456,-1
164297,-1
360906,-1
2490827,-1
131532,-1
2654668,-1
3441099,-1
467,-1
950746,66
476,-1
1540576,-1
131553,-1
295395,-1
1573348,-1
33253,-1
488,-1
3867115,-1
492,-1
4850155,-1
496,-1
1835509,-1
66038,-1
503,43
1901048,67
2753014,3
1081851,-1
131580,-1
6816251,-1
515,-1
516,-1
521,-1
522,-1
2884107,-1
1049100,-1
527,-1
1049104,-1
1770001,-1
262674,-1
533,-1
535,-1
1540633,-1
66074,-1
164379,-1
540,-1
541,-1
6554144,-1
545,-1
2720289,-1
164387,-1
754213,-1
2097704,-1
3277352,-1
33323,-1
1966637,-1
558,-1
560,-1
4227634,-1
4850228,-1
98873,-1
33339,-1
3605051,-1
4457021,-1
262725,-1
688710,44
1180232,-1
585,-1
5112392,-1
1704525,-1
597,-1
599,-1
4457047,-1
328282,-1
4096605,-1
606,-1
613,-1
328294,-1
616,-1
1311336,-1
618,-1
1180266,-1
295533,-1
2228848,-1
628,-1
629,-1
98936,-1
33401,-1
33402,-1
636,43
1737342,-1
642,-1
1540738,-1
645,-1
646,-1
1213061,-1
648,-1
426633,-1
2949765,-1
131723,-1
164492,-1
653,-1
5571211,68
66193,-1
660,-1
164501,-1
3998360,0
393881,-1
666,-1
668,-1
669,-1
672,-1
197283,-1
677,-1
885413,-1
680,-1
681,-1
1016488,-1
683,-1
3048106,-1
686,-1
33462,-1
697,-1
700,-1
99005,-1
702,-1
4883134,-1
787138,45
66244,-1
710,-1
711,-1
197318,-1
716,-1
66262,39
656086,-1
2622167,-1
164570,-1
66270,-1
3769055,-1
2753250,-1
4358883,-1
197351,-1
3343092,-1
757,-1
852728,-1
1737465,-1
770,-1
295684,-1
33544,-1
777,-1
1606414,-1
66319,-1
99089,-1
4719377,-1
99091,-1
3212053,-1
793,-1
1049373,-1
3310367,-1
262945,-1
811,-1
394032,-1
1770288,-1
2851632,-1
5997366,26
824,-1
1278777,-1
33594,-1
828,-1
6095682,-1
33603,-1
6030148,-1
3801927,-1
840,-1
1246024,-1
842,-1
846,-1
848,-1
230227,-1
852,-1
852819,-1
1737556,-1
1344348,-1
7668572,-1
3703647,-1
66401,-1
99169,-1
2687848,-1
873,-1
1311597,-1
879,-1
880,-1
882,-1
754547,-1
1442676,-1
1213301,-1
7373683,-1
889,-1
99195,-1
1115004,-1
1147774,-1
1573764,32
66437,-1
656268,-1
910,-1
4064144,46
7472018,-1
230295,-1
920,-1
921,-1
99224,-1
33692,-1
2622365,-1
1475490,-1
2753453,-1
33713,-1
3048371,-1
8520627,-1
951,-1
721847,-1
5374907,-1
961,-1
5866433,4
1147843,-1
1180614,-1
1246154,-1
1147856,-1
8651729,-1
33748,-1
525269,69
1868764,-1
7996380,-1
1377246,-1
3081183,-1
3343327,-1
721890,-1
1344485,-1
999,-1
3343338,-1
1003,-1
394222,-1
1007,-1
